编号,名称,描述,法力,力道,身法,元气,生命,物攻,魔攻,物防,魔防,霸道,会心,卸力,化解,力道%,身法%,元气%
11000023,力士23级属性,,278,75,34,34,0,0,0,0,0,0,0,0,0,0,0,0
11000024,力士24级属性,,286,78,35,35,0,0,0,0,0,0,0,0,0,0,0,0
11000025,力士25级属性,,294,80,36,36,0,0,0,0,0,0,0,0,0,0,0,0
11000026,力士26级属性,,302,83,37,37,0,0,0,0,0,0,0,0,0,0,0,0
11000027,力士27级属性,,310,85,38,38,0,0,0,0,0,0,0,0,0,0,0,0
11000028,力士28级属性,,318,88,39,39,0,0,0,0,0,0,0,0,0,0,0,0
11000029,力士29级属性,,326,90,40,40,0,0,0,0,0,0,0,0,0,0,0,0
11000030,力士30级属性,,334,93,42,42,0,0,0,0,0,0,0,0,0,0,0,0
11000031,力士31级属性,,342,97,43,43,0,0,0,0,0,0,0,0,0,0,0,0
11000032,力士32级属性,,350,101,45,45,0,0,0,0,0,0,0,0,0,0,0,0
11000033,力士33级属性,,358,105,47,47,0,0,0,0,0,0,0,0,0,0,0,0
11000034,力士34级属性,,366,109,49,49,0,0,0,0,0,0,0,0,0,0,0,0
11000035,力士35级属性,,374,113,51,51,0,0,0,0,0,0,0,0,0,0,0,0
11000036,力士36级属性,,382,117,53,53,0,0,0,0,0,0,0,0,0,0,0,0
11000037,力士37级属性,,390,121,55,55,0,0,0,0,0,0,0,0,0,0,0,0
11000038,力士38级属性,,398,125,57,57,0,0,0,0,0,0,0,0,0,0,0,0
11000039,力士39级属性,,406,129,59,59,0,0,0,0,0,0,0,0,0,0,0,0
11000040,力士40级属性,,415,134,61,61,0,0,0,0,0,0,0,0,0,0,0,0
11000041,力士41级属性,,423,136,62,62,0,0,0,0,0,0,0,0,0,0,0,0
11000042,力士42级属性,,431,138,63,63,0,0,0,0,0,0,0,0,0,0,0,0
11000043,力士43级属性,,439,140,64,64,0,0,0,0,0,0,0,0,0,0,0,0
11000044,力士44级属性,,447,142,65,65,0,0,0,0,0,0,0,0,0,0,0,0
11000045,力士45级属性,,455,145,66,66,0,0,0,0,0,0,0,0,0,0,0,0
11000046,力士46级属性,,463,147,67,67,0,0,0,0,0,0,0,0,0,0,0,0
11000047,力士47级属性,,471,149,68,68,0,0,0,0,0,0,0,0,0,0,0,0
11000048,力士48级属性,,479,151,69,69,0,0,0,0,0,0,0,0,0,0,0,0
11000049,力士49级属性,,487,153,70,70,0,0,0,0,0,0,0,0,0,0,0,0
11000050,力士50级属性,,496,156,72,72,0,0,0,0,0,0,0,0,0,0,0,0
11000051,力士51级属性,,504,159,73,73,0,0,0,0,0,0,0,0,0,0,0,0
11000052,力士52级属性,,512,162,74,74,0,0,0,0,0,0,0,0,0,0,0,0
11000053,力士53级属性,,520,165,76,76,0,0,0,0,0,0,0,0,0,0,0,0
11000054,力士54级属性,,528,168,77,77,0,0,0,0,0,0,0,0,0,0,0,0
11000055,力士55级属性,,536,171,79,79,0,0,0,0,0,0,0,0,0,0,0,0
11000056,力士56级属性,,544,174,80,80,0,0,0,0,0,0,0,0,0,0,0,0
11000057,力士57级属性,,552,177,81,81,0,0,0,0,0,0,0,0,0,0,0,0
11000058,力士58级属性,,560,180,83,83,0,0,0,0,0,0,0,0,0,0,0,0
11000059,力士59级属性,,568,183,84,84,0,0,0,0,0,0,0,0,0,0,0,0
11000060,力士60级属性,,577,187,86,86,0,0,0,0,0,0,0,0,0,0,0,0
11000061,力士61级属性,,585,190,87,87,0,0,0,0,0,0,0,0,0,0,0,0
11000062,力士62级属性,,593,193,88,88,0,0,0,0,0,0,0,0,0,0,0,0
11000063,力士63级属性,,601,196,90,89,0,0,0,0,0,0,0,0,0,0,0,0
11000064,力士64级属性,,609,199,91,90,0,0,0,0,0,0,0,0,0,0,0,0
11000065,力士65级属性,,617,202,93,91,0,0,0,0,0,0,0,0,0,0,0,0
11000066,力士66级属性,,625,205,94,92,0,0,0,0,0,0,0,0,0,0,0,0
11000067,力士67级属性,,633,208,95,93,0,0,0,0,0,0,0,0,0,0,0,0
11000068,力士68级属性,,641,211,97,94,0,0,0,0,0,0,0,0,0,0,0,0
11000069,力士69级属性,,649,214,98,95,0,0,0,0,0,0,0,0,0,0,0,0
11000070,力士70级属性,,658,217,100,97,0,0,0,0,0,0,0,0,0,0,0,0
11000071,力士71级属性,,666,224,103,100,0,0,0,0,0,0,0,0,0,0,0,0
11000072,力士72级属性,,674,232,107,104,0,0,0,0,0,0,0,0,0,0,0,0
11000073,力士73级属性,,682,240,110,108,0,0,0,0,0,0,0,0,0,0,0,0
11000074,力士74级属性,,690,248,114,112,0,0,0,0,0,0,0,0,0,0,0,0
11000075,力士75级属性,,698,256,118,116,0,0,0,0,0,0,0,0,0,0,0,0
11000076,力士76级属性,,706,263,121,120,0,0,0,0,0,0,0,0,0,0,0,0
11000077,力士77级属性,,714,271,125,124,0,0,0,0,0,0,0,0,0,0,0,0
11000078,力士78级属性,,722,279,128,128,0,0,0,0,0,0,0,0,0,0,0,0
11000079,力士79级属性,,730,287,132,132,0,0,0,0,0,0,0,0,0,0,0,0
11000080,力士80级属性,,738,295,136,136,0,0,0,0,0,0,0,0,0,0,0,0
11000081,力士81级属性,,746,302,139,139,0,0,0,0,0,0,0,0,0,0,0,0
11000082,力士82级属性,,754,310,143,143,0,0,0,0,0,0,0,0,0,0,0,0
11000083,力士83级属性,,762,317,146,146,0,0,0,0,0,0,0,0,0,0,0,0
11000084,力士84级属性,,770,325,150,150,0,0,0,0,0,0,0,0,0,0,0,0
11000085,力士85级属性,,778,333,153,153,0,0,0,0,0,0,0,0,0,0,0,0
11000086,力士86级属性,,786,340,157,157,0,0,0,0,0,0,0,0,0,0,0,0
11000087,力士87级属性,,794,348,160,160,0,0,0,0,0,0,0,0,0,0,0,0
11000088,力士88级属性,,802,355,164,164,0,0,0,0,0,0,0,0,0,0,0,0
11000089,力士89级属性,,810,363,167,167,0,0,0,0,0,0,0,0,0,0,0,0
11000090,力士90级属性,,819,371,171,171,0,0,0,0,0,0,0,0,0,0,0,0
11000091,力士91级属性,,827,379,174,174,0,0,0,0,0,0,0,0,0,0,0,0
11000092,力士92级属性,,835,388,178,178,0,0,0,0,0,0,0,0,0,0,0,0
11000093,力士93级属性,,843,396,182,182,0,0,0,0,0,0,0,0,0,0,0,0
11000094,力士94级属性,,851,405,186,186,0,0,0,0,0,0,0,0,0,0,0,0
11000095,力士95级属性,,859,413,190,190,0,0,0,0,0,0,0,0,0,0,0,0
11000096,力士96级属性,,867,422,194,194,0,0,0,0,0,0,0,0,0,0,0,0
11000097,力士97级属性,,875,430,198,198,0,0,0,0,0,0,0,0,0,0,0,0
11000098,力士98级属性,,883,439,202,202,0,0,0,0,0,0,0,0,0,0,0,0
11000099,力士99级属性,,891,447,206,206,0,0,0,0,0,0,0,0,0,0,0,0
11000100,力士100级属性,,900,456,210,210,0,0,0,0,0,0,0,0,0,0,0,0
12000001,修罗1级属性,,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12000002,修罗2级属性,,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
12000003,修罗3级属性,,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
12000004,修罗4级属性,,0,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0
12000005,修罗5级属性,,0,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0
12000006,修罗6级属性,,0,12,10,7,0,0,0,0,0,0,0,0,0,0,0,0
12000007,修罗7级属性,,0,14,12,8,0,0,0,0,0,0,0,0,0,0,0,0
12000008,修罗8级属性,,0,16,14,9,0,0,0,0,0,0,0,0,0,0,0,0
12000009,修罗9级属性,,0,18,16,10,0,0,0,0,0,0,0,0,0,0,0,0
12000010,修罗10级属性,,0,20,18,12,0,0,0,0,0,0,0,0,0,0,0,0
12000011,修罗11级属性,,0,22,19,13,0,0,0,0,0,0,0,0,0,0,0,0
12000012,修罗12级属性,,0,24,21,14,0,0,0,0,0,0,0,0,0,0,0,0
12000013,修罗13级属性,,0,26,23,15,0,0,0,0,0,0,0,0,0,0,0,0
12000014,修罗14级属性,,0,28,25,16,0,0,0,0,0,0,0,0,0,0,0,0
12000015,修罗15级属性,,0,30,27,17,0,0,0,0,0,0,0,0,0,0,0,0
12000016,修罗16级属性,,0,32,28,18,0,0,0,0,0,0,0,0,0,0,0,0
12000017,修罗17级属性,,0,34,30,19,0,0,0,0,0,0,0,0,0,0,0,0
12000018,修罗18级属性,,0,36,32,20,0,0,0,0,0,0,0,0,0,0,0,0
12000019,修罗19级属性,,0,38,34,21,0,0,0,0,0,0,0,0,0,0,0,0
12000020,修罗20级属性,,0,40,36,23,0,0,0,0,0,0,0,0,0,0,0,0
12000021,修罗21级属性,,0,42,38,24,0,0,0,0,0,0,0,0,0,0,0,0
12000022,修罗22级属性,,0,44,40,26,0,0,0,0,0,0,0,0,0,0,0,0
12000023,修罗23级属性,,0,47,42,27,0,0,0,0,0,0,0,0,0,0,0,0
12000024,修罗24级属性,,0,49,44,29,0,0,0,0,0,0,0,0,0,0,0,0
12000025,修罗25级属性,,0,52,46,30,0,0,0,0,0,0,0,0,0,0,0,0
12000026,修罗26级属性,,0,54,48,32,0,0,0,0,0,0,0,0,0,0,0,0
12000027,修罗27级属性,,0,56,50,33,0,0,0,0,0,0,0,0,0,0,0,0
12000028,修罗28级属性,,0,59,52,35,0,0,0,0,0,0,0,0,0,0,0,0
12000029,修罗29级属性,,0,61,54,36,0,0,0,0,0,0,0,0,0,0,0,0
12000030,修罗30级属性,,0,64,57,38,0,0,0,0,0,0,0,0,0,0,0,0
12000031,修罗31级属性,,0,67,60,40,0,0,0,0,0,0,0,0,0,0,0,0
12000032,修罗32级属性,,0,70,63,42,0,0,0,0,0,0,0,0,0,0,0,0
12000033,修罗33级属性,,0,73,66,44,0,0,0,0,0,0,0,0,0,0,0,0
12000034,修罗34级属性,,0,77,69,46,0,0,0,0,0,0,0,0,0,0,0,0
12000035,修罗35级属性,,0,80,72,48,0,0,0,0,0,0,0,0,0,0,0,0
12000036,修罗36级属性,,0,83,75,50,0,0,0,0,0,0,0,0,0,0,0,0
12000037,修罗37级属性,,0,87,78,52,0,0,0,0,0,0,0,0,0,0,0,0
12000038,修罗38级属性,,0,90,81,54,0,0,0,0,0,0,0,0,0,0,0,0
12000039,修罗39级属性,,0,93,84,56,0,0,0,0,0,0,0,0,0,0,0,0
12000040,修罗40级属性,,0,97,87,58,0,0,0,0,0,0,0,0,0,0,0,0
12000041,修罗41级属性,,0,100,89,59,0,0,0,0,0,0,0,0,0,0,0,0
12000042,修罗42级属性,,0,103,92,61,0,0,0,0,0,0,0,0,0,0,0,0
12000043,修罗43级属性,,0,106,95,63,0,0,0,0,0,0,0,0,0,0,0,0
12000044,修罗44级属性,,0,109,98,65,0,0,0,0,0,0,0,0,0,0,0,0
12000045,修罗45级属性,,0,113,101,67,0,0,0,0,0,0,0,0,0,0,0,0
12000046,修罗46级属性,,0,116,104,69,0,0,0,0,0,0,0,0,0,0,0,0
12000047,修罗47级属性,,0,119,107,71,0,0,0,0,0,0,0,0,0,0,0,0
12000048,修罗48级属性,,0,122,110,73,0,0,0,0,0,0,0,0,0,0,0,0
12000049,修罗49级属性,,0,125,113,75,0,0,0,0,0,0,0,0,0,0,0,0
12000050,修罗50级属性,,0,129,116,77,0,0,0,0,0,0,0,0,0,0,0,0
12000051,修罗51级属性,,0,131,118,78,0,0,0,0,0,0,0,0,0,0,0,0
12000052,修罗52级属性,,0,134,121,80,0,0,0,0,0,0,0,0,0,0,0,0
12000053,修罗53级属性,,0,137,123,82,0,0,0,0,0,0,0,0,0,0,0,0
12000054,修罗54级属性,,0,139,126,83,0,0,0,0,0,0,0,0,0,0,0,0
12000055,修罗55级属性,,0,142,128,85,0,0,0,0,0,0,0,0,0,0,0,0
12000056,修罗56级属性,,0,145,131,87,0,0,0,0,0,0,0,0,0,0,0,0
12000057,修罗57级属性,,0,147,133,88,0,0,0,0,0,0,0,0,0,0,0,0
12000058,修罗58级属性,,0,150,136,90,0,0,0,0,0,0,0,0,0,0,0,0
12000059,修罗59级属性,,0,153,138,92,0,0,0,0,0,0,0,0,0,0,0,0
12000060,修罗60级属性,,0,156,141,94,0,0,0,0,0,0,0,0,0,0,0,0
12000061,修罗61级属性,,0,157,142,95,0,0,0,0,0,0,0,0,0,0,0,0
12000062,修罗62级属性,,0,159,144,96,0,0,0,0,0,0,0,0,0,0,0,0
12000063,修罗63级属性,,0,161,146,97,0,0,0,0,0,0,0,0,0,0,0,0
12000064,修罗64级属性,,0,163,147,98,0,0,0,0,0,0,0,0,0,0,0,0
12000065,修罗65级属性,,0,165,149,99,0,0,0,0,0,0,0,0,0,0,0,0
12000066,修罗66级属性,,0,167,151,100,0,0,0,0,0,0,0,0,0,0,0,0
12000067,修罗67级属性,,0,169,152,101,0,0,0,0,0,0,0,0,0,0,0,0
12000068,修罗68级属性,,0,171,154,102,0,0,0,0,0,0,0,0,0,0,0,0
12000069,修罗69级属性,,0,173,156,103,0,0,0,0,0,0,0,0,0,0,0,0
12000070,修罗70级属性,,0,175,158,105,0,0,0,0,0,0,0,0,0,0,0,0
12000071,修罗71级属性,,0,180,162,108,0,0,0,0,0,0,0,0,0,0,0,0
12000072,修罗72级属性,,0,185,167,111,0,0,0,0,0,0,0,0,0,0,0,0
12000073,修罗73级属性,,0,190,171,114,0,0,0,0,0,0,0,0,0,0,0,0
12000074,修罗74级属性,,0,195,176,117,0,0,0,0,0,0,0,0,0,0,0,0
12000075,修罗75级属性,,0,201,181,120,0,0,0,0,0,0,0,0,0,0,0,0
12000076,修罗76级属性,,0,206,185,123,0,0,0,0,0,0,0,0,0,0,0,0
12000077,修罗77级属性,,0,211,190,126,0,0,0,0,0,0,0,0,0,0,0,0
12000078,修罗78级属性,,0,216,194,129,0,0,0,0,0,0,0,0,0,0,0,0
12000079,修罗79级属性,,0,221,199,132,0,0,0,0,0,0,0,0,0,0,0,0
12000080,修罗80级属性,,0,227,204,136,0,0,0,0,0,0,0,0,0,0,0,0
12000081,修罗81级属性,,0,232,209,139,0,0,0,0,0,0,0,0,0,0,0,0
12000082,修罗82级属性,,0,238,214,143,0,0,0,0,0,0,0,0,0,0,0,0
12000083,修罗83级属性,,0,244,219,146,0,0,0,0,0,0,0,0,0,0,0,0
12000084,修罗84级属性,,0,250,225,150,0,0,0,0,0,0,0,0,0,0,0,0
12000085,修罗85级属性,,0,256,230,153,0,0,0,0,0,0,0,0,0,0,0,0
12000086,修罗86级属性,,0,261,235,157,0,0,0,0,0,0,0,0,0,0,0,0
12000087,修罗87级属性,,0,267,241,160,0,0,0,0,0,0,0,0,0,0,0,0
12000088,修罗88级属性,,0,273,246,164,0,0,0,0,0,0,0,0,0,0,0,0
12000089,修罗89级属性,,0,279,251,167,0,0,0,0,0,0,0,0,0,0,0,0
12000090,修罗90级属性,,0,285,257,171,0,0,0,0,0,0,0,0,0,0,0,0
12000091,修罗91级属性,,0,291,262,174,0,0,0,0,0,0,0,0,0,0,0,0
12000092,修罗92级属性,,0,298,268,178,0,0,0,0,0,0,0,0,0,0,0,0
12000093,修罗93级属性,,0,304,274,182,0,0,0,0,0,0,0,0,0,0,0,0
12000094,修罗94级属性,,0,311,280,186,0,0,0,0,0,0,0,0,0,0,0,0
12000095,修罗95级属性,,0,317,286,190,0,0,0,0,0,0,0,0,0,0,0,0
12000096,修罗96级属性,,0,324,291,194,0,0,0,0,0,0,0,0,0,0,0,0
12000097,修罗97级属性,,0,330,297,198,0,0,0,0,0,0,0,0,0,0,0,0
12000098,修罗98级属性,,0,337,303,202,0,0,0,0,0,0,0,0,0,0,0,0
12000099,修罗99级属性,,0,343,309,206,0,0,0,0,0,0,0,0,0,0,0,0
12000100,修罗100级属性,,0,350,315,210,0,0,0,0,0,0,0,0,0,0,0,0
13000001,夜叉1级属性,,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
13000002,夜叉2级属性,,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
13000003,夜叉3级属性,,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0
13000004,夜叉4级属性,,0,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0
13000005,夜叉5级属性,,0,7,10,6,0,0,0,0,0,0,0,0,0,0,0,0
13000006,夜叉6级属性,,0,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0
13000007,夜叉7级属性,,0,10,13,9,0,0,0,0,0,0,0,0,0,0,0,0
13000008,夜叉8级属性,,0,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0
13000009,夜叉9级属性,,0,13,17,11,0,0,0,0,0,0,0,0,0,0,0,0
13000010,夜叉10级属性,,0,15,19,13,0,0,0,0,0,0,0,0,0,0,0,0
13000011,夜叉11级属性,,0,16,20,14,0,0,0,0,0,0,0,0,0,0,0,0
13000012,夜叉12级属性,,0,18,22,15,0,0,0,0,0,0,0,0,0,0,0,0
13000013,夜叉13级属性,,0,19,24,16,0,0,0,0,0,0,0,0,0,0,0,0
13000014,夜叉14级属性,,0,21,26,18,0,0,0,0,0,0,0,0,0,0,0,0
13000015,夜叉15级属性,,0,22,28,19,0,0,0,0,0,0,0,0,0,0,0,0
13000016,夜叉16级属性,,0,24,30,20,0,0,0,0,0,0,0,0,0,0,0,0
13000017,夜叉17级属性,,0,25,32,22,0,0,0,0,0,0,0,0,0,0,0,0
13000018,夜叉18级属性,,0,27,34,23,0,0,0,0,0,0,0,0,0,0,0,0
13000019,夜叉19级属性,,0,28,36,24,0,0,0,0,0,0,0,0,0,0,0,0
13000020,夜叉20级属性,,0,30,38,26,0,0,0,0,0,0,0,0,0,0,0,0
13000021,夜叉21级属性,,0,32,40,27,0,0,0,0,0,0,0,0,0,0,0,0
13000022,夜叉22级属性,,0,34,43,29,0,0,0,0,0,0,0,0,0,0,0,0
13000023,夜叉23级属性,,0,36,45,31,0,0,0,0,0,0,0,0,0,0,0,0
13000024,夜叉24级属性,,0,38,48,33,0,0,0,0,0,0,0,0,0,0,0,0
13000025,夜叉25级属性,,0,40,51,35,0,0,0,0,0,0,0,0,0,0,0,0
13000026,夜叉26级属性,,0,42,53,37,0,0,0,0,0,0,0,0,0,0,0,0
13000027,夜叉27级属性,,0,44,56,39,0,0,0,0,0,0,0,0,0,0,0,0
13000028,夜叉28级属性,,0,46,58,41,0,0,0,0,0,0,0,0,0,0,0,0
13000029,夜叉29级属性,,0,48,61,43,0,0,0,0,0,0,0,0,0,0,0,0
13000030,夜叉30级属性,,0,51,64,45,0,0,0,0,0,0,0,0,0,0,0,0
13000031,夜叉31级属性,,0,53,67,47,0,0,0,0,0,0,0,0,0,0,0,0
13000032,夜叉32级属性,,0,56,70,49,0,0,0,0,0,0,0,0,0,0,0,0
13000033,夜叉33级属性,,0,58,73,51,0,0,0,0,0,0,0,0,0,0,0,0
13000034,夜叉34级属性,,0,61,77,54,0,0,0,0,0,0,0,0,0,0,0,0
13000035,夜叉35级属性,,0,64,80,56,0,0,0,0,0,0,0,0,0,0,0,0
13000036,夜叉36级属性,,0,66,83,58,0,0,0,0,0,0,0,0,0,0,0,0
13000037,夜叉37级属性,,0,69,87,61,0,0,0,0,0,0,0,0,0,0,0,0
13000038,夜叉38级属性,,0,71,90,63,0,0,0,0,0,0,0,0,0,0,0,0
13000039,夜叉39级属性,,0,74,93,65,0,0,0,0,0,0,0,0,0,0,0,0
13000040,夜叉40级属性,,0,77,97,68,0,0,0,0,0,0,0,0,0,0,0,0
13000041,夜叉41级属性,,0,79,100,70,0,0,0,0,0,0,0,0,0,0,0,0
13000042,夜叉42级属性,,0,82,103,72,0,0,0,0,0,0,0,0,0,0,0,0
13000043,夜叉43级属性,,0,84,106,74,0,0,0,0,0,0,0,0,0,0,0,0
13000044,夜叉44级属性,,0,87,109,76,0,0,0,0,0,0,0,0,0,0,0,0
13000045,夜叉45级属性,,0,90,113,79,0,0,0,0,0,0,0,0,0,0,0,0
13000046,夜叉46级属性,,0,92,116,81,0,0,0,0,0,0,0,0,0,0,0,0
13000047,夜叉47级属性,,0,95,119,83,0,0,0,0,0,0,0,0,0,0,0,0
13000048,夜叉48级属性,,0,97,122,85,0,0,0,0,0,0,0,0,0,0,0,0
13000049,夜叉49级属性,,0,100,125,87,0,0,0,0,0,0,0,0,0,0,0,0
13000050,夜叉50级属性,,0,103,129,90,0,0,0,0,0,0,0,0,0,0,0,0
13000051,夜叉51级属性,,0,105,131,91,0,0,0,0,0,0,0,0,0,0,0,0
13000052,夜叉52级属性,,0,107,134,93,0,0,0,0,0,0,0,0,0,0,0,0
13000053,夜叉53级属性,,0,109,137,95,0,0,0,0,0,0,0,0,0,0,0,0
13000054,夜叉54级属性,,0,111,139,97,0,0,0,0,0,0,0,0,0,0,0,0
13000055,夜叉55级属性,,0,114,142,99,0,0,0,0,0,0,0,0,0,0,0,0
13000056,夜叉56级属性,,0,116,145,101,0,0,0,0,0,0,0,0,0,0,0,0
13000057,夜叉57级属性,,0,118,147,103,0,0,0,0,0,0,0,0,0,0,0,0
13000058,夜叉58级属性,,0,120,150,105,0,0,0,0,0,0,0,0,0,0,0,0
13000059,夜叉59级属性,,0,122,153,107,0,0,0,0,0,0,0,0,0,0,0,0
13000060,夜叉60级属性,,0,125,156,109,0,0,0,0,0,0,0,0,0,0,0,0
13000061,夜叉61级属性,,0,126,157,110,0,0,0,0,0,0,0,0,0,0,0,0
13000062,夜叉62级属性,,0,128,159,111,0,0,0,0,0,0,0,0,0,0,0,0
13000063,夜叉63级属性,,0,129,161,113,0,0,0,0,0,0,0,0,0,0,0,0
13000064,夜叉64级属性,,0,131,163,114,0,0,0,0,0,0,0,0,0,0,0,0
13000065,夜叉65级属性,,0,132,165,116,0,0,0,0,0,0,0,0,0,0,0,0
13000066,夜叉66级属性,,0,134,167,117,0,0,0,0,0,0,0,0,0,0,0,0
13000067,夜叉67级属性,,0,135,169,118,0,0,0,0,0,0,0,0,0,0,0,0
13000068,夜叉68级属性,,0,137,171,120,0,0,0,0,0,0,0,0,0,0,0,0
13000069,夜叉69级属性,,0,138,173,121,0,0,0,0,0,0,0,0,0,0,0,0
13000070,夜叉70级属性,,0,140,175,123,0,0,0,0,0,0,0,0,0,0,0,0
13000071,夜叉71级属性,,0,144,180,126,0,0,0,0,0,0,0,0,0,0,0,0
13000072,夜叉72级属性,,0,148,185,130,0,0,0,0,0,0,0,0,0,0,0,0
13000073,夜叉73级属性,,0,152,190,133,0,0,0,0,0,0,0,0,0,0,0,0
13000074,夜叉74级属性,,0,156,195,137,0,0,0,0,0,0,0,0,0,0,0,0
13000075,夜叉75级属性,,0,160,201,141,0,0,0,0,0,0,0,0,0,0,0,0
13000076,夜叉76级属性,,0,164,206,144,0,0,0,0,0,0,0,0,0,0,0,0
13000077,夜叉77级属性,,0,168,211,148,0,0,0,0,0,0,0,0,0,0,0,0
13000078,夜叉78级属性,,0,172,216,151,0,0,0,0,0,0,0,0,0,0,0,0
13000079,夜叉79级属性,,0,176,221,155,0,0,0,0,0,0,0,0,0,0,0,0
13000080,夜叉80级属性,,0,181,227,159,0,0,0,0,0,0,0,0,0,0,0,0
13000081,夜叉81级属性,,0,185,232,163,0,0,0,0,0,0,0,0,0,0,0,0
13000082,夜叉82级属性,,0,190,238,167,0,0,0,0,0,0,0,0,0,0,0,0
13000083,夜叉83级属性,,0,195,244,171,0,0,0,0,0,0,0,0,0,0,0,0
13000084,夜叉84级属性,,0,199,250,175,0,0,0,0,0,0,0,0,0,0,0,0
13000085,夜叉85级属性,,0,204,256,179,0,0,0,0,0,0,0,0,0,0,0,0
13000086,夜叉86级属性,,0,209,261,183,0,0,0,0,0,0,0,0,0,0,0,0
13000087,夜叉87级属性,,0,213,267,187,0,0,0,0,0,0,0,0,0,0,0,0
13000088,夜叉88级属性,,0,218,273,191,0,0,0,0,0,0,0,0,0,0,0,0
13000089,夜叉89级属性,,0,223,279,195,0,0,0,0,0,0,0,0,0,0,0,0
13000090,夜叉90级属性,,0,228,285,200,0,0,0,0,0,0,0,0,0,0,0,0
13000091,夜叉91级属性,,0,233,291,204,0,0,0,0,0,0,0,0,0,0,0,0
13000092,夜叉92级属性,,0,238,298,209,0,0,0,0,0,0,0,0,0,0,0,0
13000093,夜叉93级属性,,0,243,304,213,0,0,0,0,0,0,0,0,0,0,0,0
13000094,夜叉94级属性,,0,248,311,218,0,0,0,0,0,0,0,0,0,0,0,0
13000095,夜叉95级属性,,0,254,317,222,0,0,0,0,0,0,0,0,0,0,0,0
13000096,夜叉96级属性,,0,259,324,227,0,0,0,0,0,0,0,0,0,0,0,0
13000097,夜叉97级属性,,0,264,330,231,0,0,0,0,0,0,0,0,0,0,0,0
13000098,夜叉98级属性,,0,269,337,236,0,0,0,0,0,0,0,0,0,0,0,0
13000099,夜叉99级属性,,0,274,343,240,0,0,0,0,0,0,0,0,0,0,0,0
13000100,夜叉100级属性,,0,280,350,245,0,0,0,0,0,0,0,0,0,0,0,0
14000001,判官1级属性,,150,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
14000002,判官2级属性,,160,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
